,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g),"Folate, DFE (µg)",20:3 undifferentiated (g),20:4 n-6 (g),"Vitamin E, added (mg)",22:6 n-3 (DHA) (g),Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""21527""","ARBY'S, roast beef sandwich, classic",149.0,1.0 sandwich,5.065,2.625,2.23,5.72,0.323,,0.0,0.006,,0.226,,,,,,,,,0.0,,,0.077,,0.003,1.9,0.000,,,,,,,,,,,,,,6.471,0.162,0.118,1.651,0.237,2.00,0.092,,0.015,,,,,,,1511,0.516,0.298,,,,0.064,74.37,,,,,0.030,,0.048,0.428,0.007,1.43,5.941,,,0.0,0.320,0.013,3.59,,0.000,,,,0.384,973.0,0.0,0.00,0.012,,2.312,334.0,31.7,,,,0.064,,0.00,,,,,,,,,,,,,,,,,,,,,,33.09,0.000,,,,,2.183,,,,,,,,,5.306,,,0.015,0.033,0.580,,,,,,,0.0,0.066
1,"""21251""","BURGER KING, Cheeseburger",133.0,1.0 item,9.1,2.023,2.46,5.97,0.403,1.450,0.065,,,0.164,0.13,0.878,1.25,,,0.0,,0.032,,,,0.110,,0.007,1.3,,,,,,,,,,,,0.213,19.38,,4.522,0.146,0.185,2.6,0.164,0.00,0.117,,0.015,,,,0.665,,0.97,1593,,0.910,,,,,,,0.64,1.184,124.0,,,,0.319,0.000,,7.586,7.6,,0.14,0.120,0.013,3.09,0.19,0.000,,,,,,,0.20,0.000,,1.811,237.0,,1.556,19.7,0.610,,,,,,,0.106,24.74,60,0.572,0.037,32.5,,,,0.745,4.765,190.0,,,,,,,31.53,,,,,,1.673,,0.306,1.024,,0.100,,,,6.716,0.492,0.9,,,,,,,0.0,0.399,0.057,0.09,
2,"""21256""","BURGER KING, Chicken Strips",36.0,1.0 strip,0.972,2.654,0.00,0.0,0.032,0.529,0.0,0.004,,0.107,1.41,0.490,0.551,0.001,,0.08,0.005,0.024,0.0,1.087,0.551,0.002,,0.003,0.5,0.000,30,,,,,,,1,,,0.014,6.55,0,2.866,0.026,0.004,0.163,0.114,0.00,0.0,,0.003,,,,0.274,0.008,0.00,440,0.005,0.012,,,,0.016,15.49,0,2.82,0.288,5.0,0.000,1,0.001,0.049,0.000,0.05,1.513,2.3,1,0.001,0.145,0.010,1.1,0.26,0.001,,,,0.018,309.0,0.0,0.00,0.001,,2.514,113.0,,0.544,5.49,0.018,0.016,,0.00,4.0,105.0,0.001,0.076,7.41,16,0.184,0.020,5.8,,,,0.288,0.751,105.0,,,,,,,7.38,0.000,,0.0,,1.461,2.494,,0.396,0.414,,0.000,,,,1.467,0.223,11.7,0.003,0.014,0.022,,,,0.03,0.176,0.002,0.0,0.004
3,"""21385""","BURGER KING, CROISSAN'WICH with Egg and Cheese",110.0,1.0 item,5.243,3.223,0.98,4.43,0.267,0.952,,,,0.296,1.22,0.581,0.603,,,0.0,,0.037,0.0,2.823,0.848,,,0.000,0.8,,,,,,,,,,,,,,,2.257,0.081,0.036,1.265,0.296,0.70,0.031,,0.000,,,,0.396,0.000,0.88,1300,,0.382,,,,,,,5.21,0.370,254.0,,,,0.469,,0.58,7.335,10.4,,0.107,0.129,0.028,2.95,2.01,,,,,,,,0.00,,,2.861,185.0,,0.971,17.36,0.178,,,,,,,0.11,19.32,153,0.433,0.032,24.4,,,,0.535,2.994,274.0,,,,,,,27.27,,,,,,,,,0.532,,0.165,,,,7.087,0.289,8.8,,,,,,,0.0,0.254,0.193,1.88,
4,"""21384""","BURGER KING, CROISSAN'WICH with Sausage and Cheese",131.0,1.0 item,11.259,4.079,1.22,4.4,0.431,1.372,,,,0.196,1.28,0.769,1.073,,,0.0,,0.176,0.0,4.028,1.313,0.000,,0.106,0.9,,,,,,,,,,,,,,,5.358,0.094,0.100,3.416,0.196,0.98,0.02,,0.000,,,,0.629,0.000,1.03,2061,,0.677,,,,,,,4.4,0.889,140.0,,,,0.415,,0.72,15.753,8.5,,0.141,0.238,0.016,3.6,1.87,,,,,,,,0.00,,,3.699,269.0,,1.339,33.34,0.579,,,,,,,0.145,23.23,56,0.607,0.064,27.4,,,,0.757,6.608,207.0,,,,,,,30.13,,,,,,,,,0.889,,0.122,,,,14.977,0.538,15.2,,,,,,,0.0,0.342,0.054,1.17,
5,"""21383""","BURGER KING, CROISSAN'WICH with Sausage, Egg and Cheese",171.0,1.0 sandwich,14.265,7.203,1.54,5.34,0.405,1.589,0.06,0.029,,0.313,2.63,0.927,1.041,0.005,,0.34,0.171,0.185,0.0,4.102,1.671,0.055,,0.116,3.1,0.007,,,,,,,,291,,,0.171,20.67,,4.709,0.120,0.097,3.032,0.328,1.62,0.039,,0.036,,,,0.778,0.015,1.08,2204,0.188,0.658,,,,0.067,82.25,,2.26,0.860,154.0,0.019,,0.056,0.633,0.002,0.87,13.403,16.2,291,0.144,0.272,0.027,3.63,0.36,0.005,,,,0.443,987.0,0.08,0.00,0.014,,6.493,270.0,,1.869,37.24,0.462,0.067,,0.00,971.0,527.0,0.000,0.181,21.94,210,0.58,0.084,42.4,,,,0.942,9.846,236.0,,,,,,,27.19,0.000,,,,,6.385,,1.282,1.058,,0.115,,,,12.659,0.563,15.0,0.031,0.159,0.257,,,,0.97,0.496,0.048,1.09,0.039
6,"""21506""","BURGER KING, Double Cheeseburger",162.0,1.0 sandwich,11.214,1.968,2.92,6.76,,,0.104,0.010,,0.168,,,,,,,,,0.0,,,0.160,,0.008,,,,,,,,,,,,,,,,,,,3.246,0.170,2.38,0.209,,0.032,,,,,,,1913,0.970,1.110,,,,0.168,76.74,,,,,0.084,,0.154,,,,9.848,,,0.207,,0.016,3.61,,0.026,,,,0.573,910.0,0.125,0.00,0.023,,1.665,374.0,,,,,0.168,,0.00,,,,,,,,,,,,,,,,,,,,,,28.24,0.000,,,,,1.361,,,,,,,,,8.703,,,0.028,0.047,1.137,,,,,,,0.81,0.138
7,"""21254""","BURGER KING, DOUBLE WHOPPER, no cheese",374.0,1.0 item,21.591,11.280,5.35,13.16,0.722,3.665,0.019,,86,1.178,,2.094,3.553,,,,,,,,,0.355,,0.022,5.2,,,,,,,,,,,,0.711,52.14,,12.08,0.449,0.546,6.713,1.178,0.00,0.359,224,0.034,,,,1.533,,2.13,3938,,1.391,,,,,,,,,,,,,0.711,0.000,,22.878,52.7,,0.228,0.426,0.075,5.12,,0.000,,,,,,,0.26,0.000,,9.956,718.0,,3.628,58.57,1.724,,,,,,,0.374,38.52,172,1.272,0.105,75.2,82,0.748,168,2.057,12.151,415.0,,,,,,,51.39,,,,,,9.746,,0.711,2.88,,0.049,,,,20.353,1.346,0.0,,,,,,,,,,0.0,
8,"""21255""","BURGER KING, DOUBLE WHOPPER, with cheese",399.0,1.0 item,27.922,11.918,5.07,14.4,1.065,4.229,0.367,,20,1.564,0.24,2.434,4.03,,,0.0,,,0.0,10.175,3.910,0.455,,0.000,6.4,,,,,,0.000,,,,,,0.798,57.74,,11.97,0.311,0.650,7.884,1.564,0.00,0.579,168,0.000,,,,1.596,0.000,2.19,4433,,2.450,,,,,,,0.84,3.751,311.0,,,,0.838,0.000,,25.129,45.9,,0.383,0.447,0.000,6.66,1.00,0.000,,,,,,,2.03,,,10.354,754.0,,4.908,68.07,1.943,,,,,,,0.399,40.30,188,1.516,0.000,67.8,88,0.559,108,2.354,15.242,511.0,,,,,,,53.94,,,,,,,,,3.032,,0.379,,,,22.148,1.476,1.2,,,,,,,0.0,1.157,,0.28,
9,"""21249""","BURGER KING, french fries",74.0,1.0 small serving,1.581,4.400,0.00,0.38,0.106,0.126,0.0,,,0.202,1.81,0.108,0.196,0.001,,0.0,0.010,0.027,0.0,0.373,0.501,0.004,,0.003,2.1,0.001,,,,,,,,,,,0.0,2.39,,1.601,0.094,0.007,0.232,0.214,0.38,0.0,,0.001,,,,0.081,0.012,0.00,867,0.010,0.023,,,,0.024,32.52,,3.52,0.070,13.0,0.000,,0.003,0.024,0.000,,2.42,8.2,,0.003,0.242,0.016,1.21,0.38,0.001,,,,0.019,206.0,0.004,0.00,,,4.18,346.0,0.4,0.098,9.24,0.019,0.024,,0.00,,,,0.021,26.62,,0.071,0.028,,,,,0.08,1.24,88.0,,,,,,,28.64,0.000,,,,,4.143,,0.363,0.135,,0.007,,,,2.367,0.048,43.2,0.000,0.002,0.034,,,,0.07,0.044,0.007,0.0,0.011
10,"""21386""","BURGER KING, french toast sticks",21.0,1.0 stick,0.838,0.539,0.16,2.08,0.060,0.092,,,,0.03,0.18,0.062,0.032,,,0.0,,0.014,0.0,0.420,0.068,,,0.000,0.3,,,,,,,,,,,,,,,0.541,0.018,0.003,0.397,0.030,0.22,0.0,,,,,,0.037,0.000,0.17,306,,0.001,,,,,,,1.11,0.050,11.0,,,,0.037,,0.00,1.995,3.0,,0.0,0.011,0.012,0.31,0.73,,,,,,,,0.00,,,0.508,23.0,,0.13,3.73,0.007,,,,,,,0.01,5.59,0,0.039,0.012,2.6,,,,0.049,0.412,18.0,,,,,,,8.65,,,,,,,,,0.054,,0.000,,,,1.975,0.031,5.8,,,,,,,0.0,0.018,,0.03,
11,"""21250""","BURGER KING, Hamburger",99.0,1.0 sandwich,3.783,1.232,2.70,5.54,0.331,,0.0,0.006,27,0.105,0.04,,,,,0.0,0.368,0.047,0.0,,,0.068,,0.003,1.0,0.002,,,,,,,,,,,,,,3.908,0.120,0.106,1.319,0.106,2.25,0.071,88,0.014,,,,,,,1083,0.398,0.237,,,,0.064,45.51,,,,,0.031,,0.043,0.225,0.003,,4.207,5.4,,0.008,0.100,0.009,1.85,0.07,0.026,,,,0.243,456.0,0.0,0.00,0.009,,1.071,215.0,,,,,0.064,,0.00,,,,,,,,,,37,0.324,63,,,,,,,,,,26.49,0.000,,,,,0.957,,0.220,,,,,,,3.716,,,0.012,0.017,0.462,,,,0.0,,0.001,0.0,0.050
12,"""21387""","BURGER KING, Hash Brown Rounds",5.6,1.0 piece,0.184,0.503,0.02,0.04,0.009,0.010,0.0,,,0.027,0.25,0.007,0.01,0.000,,0.01,0.002,0.004,0.0,0.021,0.028,0.000,,0.000,0.1,0.000,1,,,,,,,,,,,,,0.111,0.007,0.001,0.033,0.029,0.02,0.0,,0.000,,,,0.007,0.002,0.00,71,0.002,0.002,,,,0.003,2.6,0,0.46,0.005,1.0,0.000,0,0.0,0.003,0.000,,0.306,,0,0.0,0.010,0.002,0.12,0.07,0.000,,,,0.002,32.0,0.0,0.00,,,0.474,20.0,,0.006,1.08,0.002,0.003,,0.00,0.0,17.0,0.000,0.002,1.49,0,0.005,0.004,0.0,,,,0.006,0.139,5.0,,,,,,,1.64,0.000,,0.0,,0.298,0.469,,0.025,0.008,,0.000,,,,0.299,0.003,,0.000,0.000,0.005,,,,0.01,0.002,0.001,0.0,0.002
13,"""21509""","BURGER KING, Onion Rings",91.0,1.0 small,3.817,11.056,0.89,4.94,0.100,,0.0,0.001,,0.525,4.48,,,,,0.0,0.026,0.074,0.0,,,0.010,,0.008,2.5,0.004,35,,,,,,,,,,,,,0.612,0.068,0.018,0.596,0.563,0.40,0.0,,0.004,,,,,,,1587,0.028,0.053,,,,0.121,22.31,3,10.03,,105.0,0.000,2,0.005,0.057,0.001,,6.265,,0,0.005,0.121,0.047,2.57,1.11,0.005,,,,0.048,706.0,0.004,0.00,,,10.471,152.0,15.1,,,,0.121,,3.24,5.0,379.0,0.006,,,,,,,,,,,,,,,,,,,39.66,0.002,,0.0,,6.097,10.318,,0.296,,,,,,,6.123,,,0.000,0.006,0.149,,,,0.09,,0.014,0.0,0.034
14,"""21259""","BURGER KING, Original Chicken Sandwich",199.0,1.0 sandwich,5.419,14.368,2.73,6.01,0.559,1.863,0.0,0.020,24,1.292,,1.114,1.614,0.002,,,,,0.0,5.437,1.749,,,0.018,4.8,0.004,,,,,,,,,,,0.159,24.16,,9.373,0.177,0.030,1.226,1.329,1.99,0.008,96,0.020,,,,0.730,0.036,1.13,2378,0.046,0.060,,,,0.117,88.95,,,,,0.002,,0.01,0.318,0.002,,7.371,47.2,,0.006,0.306,0.074,4.48,,0.002,,,,0.285,1270.0,0.002,0.00,0.004,,12.917,390.0,,2.171,29.23,0.287,0.117,,0.14,,,,0.289,,62,0.653,0.084,46.6,42,0.798,66,1.095,3.881,255.0,,,,,,,52.18,0.000,,,,,12.77,,0.856,1.363,,0.010,,,,6.915,0.730,15.3,0.016,0.054,0.163,,,,,,,0.04,0.030
15,"""21258""","BURGER KING, Premium Fish Sandwich",220.0,1.0 sandwich,4.288,13.765,3.23,7.77,0.433,1.767,0.0,0.009,,1.076,,1.052,1.454,0.009,,,,,0.0,5.436,1.566,0.013,,0.011,2.0,0.002,,,,,,,,,,,0.0,22.64,,4.598,0.165,0.026,0.856,1.126,2.64,0.0,,0.007,,,,0.783,0.051,1.91,2394,0.062,0.048,,,,0.117,106.57,,,,,0.000,,0.007,0.396,0.064,,5.709,49.5,,0.002,0.079,0.064,4.69,,0.009,,,,0.062,1324.0,0.002,0.00,0.007,,12.379,453.0,,1.566,27.39,0.062,0.117,,0.00,,,,0.178,,68,0.739,0.081,53.5,,,,0.849,3.157,255.0,,,,,,,58.72,0.000,,,,,12.234,,0.374,1.074,,0.009,,,,5.496,0.469,20.0,0.004,0.018,0.176,,,,,,,0.0,0.029
16,"""21141""","BURGER KING, Vanilla Shake",24.8,1.0 fl oz,1.323,0.108,0.00,2.89,0.000,,0.038,,,0.008,0.08,,,,,,,,0.0,,,0.004,,0.000,0.0,,,,,,,,,,,,,,,0.022,0.047,0.013,0.258,,0.00,0.017,,,,,,,,,174,0.059,0.205,,,,0.015,16.9,,,,,0.007,,0.021,0.045,0.000,0.09,0.613,,,0.062,0.007,0.001,0.23,,,,,,0.035,25.0,0.049,0.03,0.001,,,,,,,,0.015,,1.81,,,,,,,,,,,,,,,,,,,,,,4.72,0.000,,,,,0.063,,0.154,,,,,,,0.547,,,0.003,0.003,0.073,,,,,,,1.06,0.012
17,"""21252""","BURGER KING, WHOPPER, no cheese",291.0,1.0 item,12.367,9.862,5.03,12.28,0.626,2.217,0.006,,41,0.8,0.44,1.342,1.726,,,0.0,,0.038,0.0,6.725,2.194,0.201,,0.006,5.2,,,,,,,,0.000,,,,0.509,31.25,,8.36,0.038,0.297,3.905,0.800,0.00,0.21,204,0.009,,,,1.088,0.000,1.95,2834,,0.725,,,,,,,1.31,2.212,113.0,,,,0.509,0.000,,13.633,56.7,,0.111,0.265,0.029,4.16,1.13,0.000,,,,,,,0.32,0.000,,0.207,492.0,,2.881,37.36,0.954,,,,,,,0.204,39.37,87,0.78,0.038,53.0,96,0.524,137,1.004,7.086,262.0,,,,,,,53.98,,,,,,8.023,,0.503,1.67,,0.017,,,,12.231,0.736,1.2,,,,,,,0.0,0.605,0.017,0.0,
18,"""21253""","BURGER KING, WHOPPER, with cheese",316.0,1.0 item,18.271,11.957,5.25,12.99,0.673,3.034,0.174,,66,1.482,0.25,1.770,2.654,,,0.0,,,0.0,7.900,2.907,0.231,,0.000,3.2,,,,,,0.000,,,,,,0.474,35.36,,8.09,0.167,0.370,4.683,1.482,0.00,0.414,228,0.000,,,,1.390,0.000,2.18,3299,,1.653,,,,,,,11.25,2.654,259.0,,,,0.632,0.000,,15.983,60.4,,0.319,0.231,0.000,5.88,1.17,0.000,,,,,,,0.22,,,10.475,534.0,,2.939,48.44,1.106,,,,,,,0.284,,114,1.201,0.000,58.1,95,0.569,161,1.612,9.97,357.0,,,,,,,52.77,,,,,,,,,2.18,,0.316,,,,14.233,1.011,0.0,,,,,,,0.0,0.822,0.133,0.22,
19,"""21143""","CHICK-FIL-A, Chick-n-Strips",50.0,1.0 strip,1.028,1.204,0.00,0.62,0.076,,0.0,0.005,,0.015,0.78,,,,,0.0,0.007,0.095,0.0,,,0.003,,0.004,0.5,0.000,,,,,,,,,,,,,,4.381,0.030,0.004,0.166,0.017,0.00,0.0,,0.005,,,,,,,477,0.007,0.004,,,,0.011,27.18,,0.46,,12.0,0.000,,0.001,0.135,0.000,0.10,3.083,,,0.0,0.238,0.150,1.33,0.04,0.012,,,,0.022,288.0,0.0,0.00,0.002,,1.151,248.0,,,,,0.011,,0.62,,,,,,,,,,,,,,,,,,,,,,5.2,0.000,,,,,1.138,,0.775,,,,,,,2.947,,,0.005,0.020,0.018,,,,0.0,,0.000,0.0,0.002
20,"""21526""","CHICK-FIL-A, chicken sandwich",187.0,1.0 sandwich,3.97,5.941,1.81,6.81,0.430,,0.0,0.015,,0.368,,,,,,,,,0.0,,,0.009,,0.011,2.6,0.000,,,,,,,,,,,,,,14.436,0.125,0.015,0.699,0.385,1.48,0.004,,0.015,,,,,,,1952,0.021,0.116,,,,0.036,91.52,,,,,0.000,,0.007,0.561,0.006,0.24,8.379,,,0.309,0.716,0.355,5.05,,0.024,,,,0.107,1408.0,0.0,0.00,0.006,,5.44,458.0,41.7,,,,0.036,,2.15,,,,,,,,,,,,,,,,,,,,,,39.06,0.000,,,,,5.393,,2.244,,,,,,,8.032,,,0.015,,0.056,,,,,,,0.0,0.011
21,"""21144""","CHICK-FIL-A, hash browns",5.5,1.0 piece,0.153,0.214,0.01,0.03,0.009,,0.0,,,0.034,0.17,,,,,0.0,0.001,0.011,0.0,,,0.000,,0.001,0.2,0.000,1,,,,,,,,,,,,,0.132,0.006,0.001,0.025,0.036,0.02,0.0,,,,,,,,,69,0.001,0.002,,,,0.001,2.52,0,0.23,,1.0,0.000,0,0.0,0.003,0.000,,0.588,,0,0.001,0.013,0.003,0.12,0.01,0.001,,,,0.002,25.0,0.0,0.00,,,0.177,25.0,,,,,0.001,,0.00,0.0,17.0,0.001,,,,,,,,,,,,,,,,,,,1.68,0.000,,0.0,,0.572,0.175,,0.029,,,,,,,0.573,,,0.000,0.000,0.002,,,,0.02,,0.000,0.0,0.001
22,"""21473""","DIGIORNO Pizza, cheese topping, cheese stuffed crust, frozen, baked",164.0,1.0 slice 1/4 of pie,9.233,2.936,3.69,,,,0.175,0.011,,0.274,1.53,,,,,0.0,0.333,0.033,0.0,,,0.003,,0.007,3.1,0.002,,5.2,0.03,,,,,131,,,,,,5.827,0.175,0.093,1.804,0.277,3.31,0.098,,0.018,,,,,,,1911,0.372,1.410,,,,0.098,68.52,,2.07,,385.0,0.038,,0.143,0.415,0.005,0.59,4.764,13.8,131,0.41,0.169,0.016,5.23,0.61,0.003,,,,0.23,1322.0,0.169,,,,2.586,303.0,,,,,0.098,,0.00,436.0,458.0,0.002,,,,,,,,,,,,,,,,,,,48.97,0.000,,,,,2.416,,0.749,,,,,,,4.357,,0.0,,0.016,0.471,,,,0.02,,0.120,0.0,0.071
23,"""21474""","DIGIORNO Pizza, cheese topping, rising crust, frozen, baked",183.0,1.0 slice 1/4 of pie,6.431,2.674,4.32,9.15,0.172,,0.11,0.013,,0.245,1.63,,,,,0.0,0.223,0.026,0.0,,,0.000,,0.005,4.4,0.002,,2.6,0.04,,,,,84,,,,,,2.32,0.209,0.055,1.512,0.249,3.11,0.059,,0.015,,,,,,,1958,0.242,0.889,,,,0.073,80.43,,2.62,,351.0,0.018,,0.091,0.176,0.004,0.60,3.393,12.6,84,0.253,0.205,0.018,5.25,0.48,0.002,,,,0.143,1274.0,0.106,0.37,0.007,,2.364,359.0,,,,,0.073,,0.00,282.0,468.0,0.005,,,,,,,,,,,,,,,,,,,58.16,0.000,,,,,2.24,,0.769,,,,,,,3.14,,0.0,0.013,0.015,0.315,,,,0.02,,0.073,0.0,0.051
24,"""21475""","DIGIORNO Pizza, cheese topping, thin crispy crust, frozen, baked",161.0,1.0 slice 1/4 of pie,7.408,1.864,2.17,,,,0.14,0.010,,0.172,1.19,,,,,0.0,0.660,0.032,0.0,,,0.002,,0.005,4.8,0.002,,3.1,0.00,,,,,103,,,,,,2.066,0.156,0.076,1.583,0.175,1.87,0.081,,0.016,,,,,,,1663,0.692,1.111,,,,0.092,77.52,,1.69,,443.0,0.032,,0.108,0.204,0.005,1.00,4.405,6.8,103,0.317,0.209,0.016,4.04,0.48,0.002,,,,0.182,815.0,0.134,,,,1.626,375.0,,,,,0.092,,0.00,341.0,398.0,0.002,,,,,,,,,,,,,,,,,,,42.62,0.000,,,,,1.476,,0.800,,,,,,,4.073,,4.5,0.014,0.016,0.784,,,,0.02,,0.097,0.0,0.060
25,"""21476""","DIGIORNO Pizza, pepperoni topping, cheese stuffed crust, frozen, baked",179.0,1.0 slice 1/4 of pie,8.963,3.582,3.81,,,,0.131,0.018,,0.322,1.29,,,,,0.0,0.299,0.072,0.0,,,0.002,,0.018,3.8,0.005,,5.0,0.04,,,,,115,,,,,,6.664,0.192,0.090,1.951,0.328,3.19,0.09,,0.023,,,,,,,2089,0.335,1.151,,,,0.09,74.95,,1.63,,405.0,0.036,,0.107,0.442,0.005,0.98,5.887,14.0,115,0.317,0.215,0.018,5.44,0.54,0.018,,,,0.31,1348.0,0.131,,,,3.156,320.0,,,,,0.09,,0.00,379.0,499.0,0.004,,,,,,,,,,,,,,,,,,,52.73,0.000,,,,,2.995,,0.877,,,,,,,5.357,,0.0,,0.018,0.424,,,,0.02,,0.095,0.0,0.072
26,"""21477""","DIGIORNO Pizza, pepperoni topping, rising crust, frozen, baked",207.0,1.0 slice 1/4 of pie,7.785,3.674,4.80,10.56,0.273,,0.083,0.019,,0.302,1.82,,,,,0.0,0.236,0.075,0.0,,,0.000,,0.021,4.8,0.006,,5.6,0.06,,,,,85,,,,,,3.237,0.248,0.066,1.958,0.308,4.08,0.062,,0.023,,,,,,,2298,0.257,0.853,,,,0.07,89.67,,2.71,,325.0,0.021,,0.083,0.172,0.004,0.87,5.734,15.7,85,0.219,0.282,0.021,6.15,0.52,0.021,,,,0.302,1538.0,0.083,0.41,0.010,,3.262,439.0,,,,,0.07,,0.00,284.0,549.0,0.004,,,,,,,,,,,,,,,,,,,64.48,0.000,,,,,3.138,,0.932,,,,,,,5.25,,0.0,0.019,0.021,0.327,,,,0.02,,0.062,0.0,0.054
27,"""21478""","DIGIORNO Pizza, pepperoni topping, thin crispy crust, frozen, baked",145.0,1.0 slice 1/4 of pie,7.211,2.649,1.96,,,,0.08,0.014,,0.193,1.12,,,,,0.0,0.645,0.077,0.0,,,0.010,,0.029,4.1,0.006,,5.8,0.00,,,,,67,,,,,,2.977,0.157,0.070,1.81,0.199,1.90,0.055,,0.020,,,,,,,1718,0.664,0.766,,,,0.072,61.45,,1.44,,303.0,0.019,,0.072,0.181,0.004,0.80,6.313,7.2,67,0.196,0.232,0.014,4.18,0.42,0.026,,,,0.316,961.0,0.08,,,,2.339,389.0,,,,,0.072,,0.00,220.0,410.0,0.003,,,,,,,,,,,,,,,,,,,41.57,0.000,,,,,2.216,,0.779,,,,,,,5.812,,5.7,0.014,0.029,0.737,,,,0.01,,0.055,0.0,0.051
28,"""21479""","DIGIORNO Pizza, supreme topping, rising crust, frozen, baked",227.0,1.0 slice 1/4 of pie,9.001,4.293,4.88,10.69,0.347,,0.086,0.023,,0.329,2.02,,,,,0.0,0.234,0.107,0.0,,,0.007,,0.045,5.2,0.009,,6.8,0.11,,,,,79,,,,,,3.643,0.268,0.079,2.354,0.336,4.00,0.057,,0.032,,,,,,,2420,0.257,0.863,,,,0.068,106.24,,2.91,,316.0,0.023,,0.075,0.182,0.005,0.93,7.654,17.3,79,0.22,0.311,0.023,6.47,0.57,0.020,,,,0.381,1616.0,0.091,0.45,0.014,,3.791,477.0,,,,,0.068,,0.00,266.0,579.0,0.002,,,,,,,,,,,,,,,,,,,63.4,0.000,,,,,3.666,,1.060,,,,,,,7.055,,0.0,0.023,0.041,0.325,,,,0.09,,0.064,0.0,0.057
29,"""21480""","DIGIORNO Pizza, supreme topping, thin crispy crust, frozen, baked",155.0,1.0 slice 1/4 of pie,6.784,2.774,2.43,,,,0.062,0.015,,0.183,1.27,,,,,0.0,0.625,0.070,0.0,,,0.002,,0.028,4.3,0.006,,5.3,0.05,,,,,64,,,,,,3.12,0.171,0.062,1.756,0.188,2.14,0.046,,0.020,,,,,,,1654,0.640,0.679,,,,0.074,73.33,,1.69,,250.0,0.015,,0.067,0.152,0.003,0.74,6.133,8.8,64,0.175,0.253,0.015,3.77,0.50,0.014,,,,0.279,860.0,0.067,,,,2.48,431.0,,,,,0.074,,0.00,214.0,395.0,0.003,,,,,,,,,,,,,,,,,,,43.48,0.000,,,,,2.364,,0.832,,,,,,,5.704,,5.4,0.015,0.028,0.713,,,,0.02,,0.046,0.0,0.043
